;X1;X2;X3;X4;X5;X8;X9;X14;X15;X16;X17;X19;X20;X22;X23;X24;X28;X31;X32;X34;X35;X37;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58
PH;2,38%;2,39%;4,30%;3,75%;4,83%;0,00%;0,00%;4,79%;2,33%;0,00%;0,00%;0,00%;0,00%;2,31%;3,18%;4,74%;2,32%;0,00%;2,34%;2,15%;0,00%;2,35%;4,22%;2,33%;0,00%;0,00%;0,00%;2,23%;0,00%;0,00%;2,38%;4,73%;0,00%;4,73%;4,73%;0,00%;2,25%;0,00%;0,00%;2,37%;0,00%
WGV;6,19%;4,96%;0,00%;0,00%;4,86%;4,33%;4,47%;3,96%;6,16%;0,00%;3,29%;4,45%;0,00%;7,42%;0,00%;3,89%;3,05%;2,39%;6,30%;0,00%;4,52%;5,66%;0,00%;3,24%;4,66%;2,45%;3,43%;0,00%;3,32%;0,00%;0,00%;6,70%;2,37%;0,00%;0,00%;2,69%;0,00%;0,00%;6,61%;0,00%;0,00%
PM;5,73%;5,75%;5,80%;0,00%;5,74%;0,00%;5,93%;3,08%;5,24%;5,33%;2,62%;5,95%;5,98%;5,73%;0,00%;2,59%;4,94%;5,59%;5,58%;5,56%;6,05%;6,03%;4,95%;4,86%;4,91%;4,90%;5,94%;5,88%;2,95%;4,24%;5,86%;5,69%;5,62%;5,69%;5,69%;5,38%;5,40%;2,96%;0,00%;5,01%;2,74%
Poultry M;1,92%;6,64%;0,00%;7,60%;0,00%;0,00%;5,60%;0,00%;1,91%;3,20%;0,00%;5,55%;2,38%;0,00%;8,43%;0,00%;0,00%;3,55%;1,94%;6,24%;5,87%;5,43%;0,00%;0,00%;5,68%;3,43%;4,60%;0,00%;0,00%;5,73%;0,00%;0,00%;3,32%;0,00%;0,00%;2,37%;0,00%;8,40%;11,64%;0,00%;8,54%
Wheat;0,44%;0,00%;0,62%;0,67%;0,81%;0,72%;0,76%;0,49%;0,46%;0,90%;0,94%;0,78%;1,10%;0,41%;0,76%;0,57%;0,62%;0,78%;0,46%;0,64%;0,80%;0,54%;0,71%;0,56%;0,80%;1,00%;0,97%;0,53%;1,01%;0,51%;0,79%;1,28%;0,94%;0,67%;0,67%;0,71%;0,62%;0,72%;0,00%;0,96%;0,83%
FM;1,32%;0,00%;0,00%;0,00%;2,55%;0,00%;3,66%;7,29%;0,00%;6,85%;0,00%;3,53%;9,51%;1,98%;0,00%;6,91%;4,85%;7,95%;0,00%;1,91%;3,43%;0,00%;1,94%;4,64%;3,32%;7,68%;3,42%;4,88%;0,00%;0,00%;6,19%;6,00%;7,91%;6,00%;6,00%;3,95%;5,77%;5,73%;2,19%;8,89%;5,65%
FM7;0,00%;0,00%;0,00%;14,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;14,38%;0,00%;14,37%;14,37%;0,00%;10,26%;0,00%;10,58%;3,37%;0,00%
FM16;5,22%;0,00%;14,11%;0,00%;14,13%;31,63%;0,00%;10,53%;5,22%;3,55%;27,85%;0,00%;3,54%;7,01%;14,02%;10,47%;3,83%;0,00%;5,25%;5,23%;0,00%;0,00%;14,40%;3,89%;0,00%;0,00%;0,00%;3,41%;27,41%;14,28%;10,71%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
MGM12;0,00%;6,21%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;12,26%;0,00%;0,00%;0,00%;0,00%;12,43%;0,00%;12,60%;12,34%;0,00%;0,00%;12,15%;0,00%;12,37%;12,34%;12,12%;9,17%;9,16%;9,25%;12,23%;10,43%;11,95%;12,54%;5,64%;9,40%;11,17%;11,17%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
MGM17;12,38%;6,21%;12,54%;12,48%;9,70%;12,52%;9,33%;12,58%;0,00%;6,24%;11,03%;9,24%;2,98%;0,00%;12,16%;0,00%;0,00%;9,21%;12,26%;0,00%;9,31%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,03%;11,88%;6,55%;9,39%;5,42%;6,58%
RWITHOUTO;2,21%;1,94%;2,24%;0,00%;1,74%;0,00%;1,72%;2,32%;2,15%;1,10%;0,00%;1,59%;1,07%;2,11%;0,00%;2,12%;0,00%;0,00%;2,10%;1,84%;1,75%;2,33%;0,00%;0,00%;1,53%;0,00%;1,57%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
SOYP;4,16%;6,48%;3,22%;3,53%;0,00%;0,00%;7,32%;0,00%;4,12%;3,68%;0,00%;0,00%;2,55%;0,00%;1,95%;0,00%;4,91%;0,00%;4,23%;6,56%;7,23%;5,47%;3,53%;4,81%;7,23%;0,00%;6,34%;7,97%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,53%;0,00%;3,32%;0,00%;0,00%;3,30%
SUNFLOWER;0,00%;0,00%;0,61%;1,95%;0,00%;0,00%;0,00%;0,84%;0,00%;4,57%;0,00%;0,00%;5,12%;1,69%;3,06%;0,82%;1,40%;2,24%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,70%;0,00%;0,00%;0,00%;0,00%;1,65%;0,00%;1,79%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,70%;0,00%
KRILL;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,16%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,22%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
RWITHO;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,79%;0,00%;0,00%;1,91%;1,40%;1,85%;1,87%;1,87%;0,00%;1,77%;0,00%;0,00%;0,00%;0,00%
REM;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,46%;0,00%;0,00%;0,00%;0,00%;0,00%
SOYB;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,53%;4,54%;4,52%;0,00%;4,47%;4,42%
